sn,mcg,gvh,lip,chg,aac,alm1,alm2,label
AAT,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
ACEA,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
ACEK,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
ACKA,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
ADI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
ALKH,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
AMPD,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
AMY2,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
APT,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
ARAC,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
ASG1,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
BTUR,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
CAFA,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
CAIB,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
CFA,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
CHEA,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
CHEB,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
CHEW,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
CHEY,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
CHEZ,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
CRL,0.4,0.45,0.48,0.5,0.38,0.22,0,cp
CSPA,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
CYNR,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
CYPB,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
CYPC,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
CYSB,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
CYSE,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
DAPD,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
DCP,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
DDLA,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
DDLB,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
DEOC,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
DLDH,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
EFG,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
EFTS,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
